Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764182131,50,,Aggregated,12.200000,0.400000,350,410,570,4800,5400,10000,10000,10000,10000,10000,10000,2291,161,350.0,1726.5897710152728,2.329399809241295,10373.930600006133,324.5905718027062
1764182132,50,,Aggregated,13.300000,0.300000,360,420,570,4700,5400,10000,10000,10000,10000,10000,10000,2307,161,360.0,1717.358104289781,2.329399809241295,10373.930600006133,324.6072821846554
1764182133,50,,Aggregated,14.500000,0.300000,360,420,560,4500,5400,10000,10000,10000,10000,10000,10000,2317,161,360.0,1711.72814337351,2.329399809241295,10373.930600006133,325.01467414760464
1764182134,50,,Aggregated,14.300000,0.000000,360,420,560,4500,5400,10000,10000,10000,10000,10000,10000,2323,161,360.0,1710.193681530955,2.329399809241295,10373.930600006133,324.94059405940595
1764182135,50,,Aggregated,15.300000,0.000000,360,420,560,4500,5400,10000,10000,10000,10000,10000,10000,2332,161,360.0,1708.8938077171308,2.329399809241295,10373.930600006133,324.8301886792453
1764182136,50,,Aggregated,15.600000,0.000000,360,420,560,4500,5400,10000,10000,10000,10000,10000,10000,2340,161,360.0,1707.9660170496657,2.329399809241295,10373.930600006133,324.5230769230769
1764182137,50,,Aggregated,15.900000,0.000000,360,420,570,4800,5400,10000,10000,10000,10000,10000,10000,2352,161,360.0,1713.7973790377146,2.329399809241295,10373.930600006133,324.6921768707483
1764182138,50,,Aggregated,15.500000,0.000000,360,420,570,4800,5400,10000,10000,10000,10000,10000,10000,2359,161,360.0,1713.988517166971,2.329399809241295,10373.930600006133,324.8160237388724
1764182139,50,,Aggregated,12.700000,0.000000,360,420,570,4800,5400,10000,10000,10000,10000,10000,10000,2372,161,360.0,1712.6010439700633,2.329399809241295,10373.930600006133,324.7116357504216
1764182140,50,,Aggregated,12.800000,0.000000,360,420,580,4900,5400,10000,10000,10000,10000,10000,10000,2383,164,360.0,1725.2202327723724,2.329399809241295,10373.930600006133,324.947125472094
1764182141,50,,Aggregated,11.700000,0.000000,360,420,600,5100,5400,10000,10000,10000,10000,10000,10000,2393,169,360.0,1742.0614500611016,2.329399809241295,10373.930600006133,324.8035938152946
1764182142,50,,Aggregated,10.700000,0.000000,360,420,630,5200,5400,10000,10000,10000,10000,10000,10000,2403,173,360.0,1752.4843143970293,2.329399809241295,10373.930600006133,324.3699542238868
1764182144,50,,Aggregated,10.100000,0.300000,360,420,810,5300,5400,10000,10000,10000,10000,10000,10000,2407,174,360.0,1759.2879489804593,2.329399809241295,10373.930600006133,324.3593685085168
1764182145,50,,Aggregated,10.000000,0.800000,360,420,860,5300,5400,10000,10000,10000,10000,10000,10000,2415,176,360.0,1766.1296080312004,2.329399809241295,10373.930600006133,324.3383022774327
1764182146,50,,Aggregated,9.000000,1.300000,360,420,1000,5300,5400,10000,10000,10000,10000,10000,10000,2424,179,360.0,1781.2822904682137,2.329399809241295,10373.930600006133,324.34158415841586
1764182147,50,,Aggregated,9.000000,1.300000,360,420,1200,5300,5400,10000,10000,10000,10000,10000,10000,2449,179,360.0,1788.6277771314926,2.3258000146597624,10373.930600006133,325.0073499387505
1764182148,50,,Aggregated,9.100000,1.800000,360,420,1200,5300,5400,10000,10000,10000,10000,10000,10000,2465,179,360.0,1785.0390212147536,2.3258000146597624,10373.930600006133,324.57241379310346
1764182149,50,,Aggregated,9.100000,1.800000,360,420,1200,5300,5400,10000,10000,10000,10000,10000,10000,2477,179,360.0,1777.3912690328355,2.0540000405162573,10373.930600006133,324.28704077513123
1764182150,50,,Aggregated,10.900000,1.800000,360,420,1100,5300,5400,10000,10000,10000,10000,10000,10000,2483,179,360.0,1773.7229374121835,2.0540000405162573,10373.930600006133,324.2194925493355
1764182151,50,,Aggregated,11.800000,1.800000,360,420,1200,5300,5400,10000,10000,10000,10000,10000,10000,2503,180,360.0,1786.2271303610516,2.0540000405162573,10373.930600006133,324.668397922493
1764182152,50,,Aggregated,11.800000,1.800000,360,420,1200,5300,5400,10000,10000,10000,10000,11000,11000,2515,181,360.0,1785.2470420251896,2.0540000405162573,10542.528999969363,324.51888667992046
1764182153,50,,Aggregated,11.800000,1.600000,360,420,1000,5300,5400,10000,10000,10000,10000,11000,11000,2525,181,360.0,1779.3812786904855,2.0540000405162573,10542.528999969363,324.4558415841584
1764182154,50,,Aggregated,12.200000,1.200000,360,430,1000,5300,5400,10000,10000,10000,10000,11000,11000,2543,182,360.0,1779.7835077050336,2.0540000405162573,11113.704100018367,324.6767597325993
1764182155,50,,Aggregated,12.100000,0.800000,360,430,1200,5300,5400,10000,10000,10000,10000,11000,11000,2563,182,360.0,1782.7334667163002,2.0540000405162573,11113.704100018367,325.12563402262975
1764182156,50,,Aggregated,13.400000,0.800000,360,430,1200,5300,5400,10000,10000,10000,10000,11000,11000,2589,182,360.0,1783.5532061777421,2.0540000405162573,11113.704100018367,324.9312475859405
1764182157,50,,Aggregated,14.600000,0.600000,360,430,1100,5300,5400,10000,10000,10000,10000,11000,11000,2604,182,360.0,1775.4477710038755,2.0540000405162573,11113.704100018367,325.33179723502303
1764182158,50,,Aggregated,16.200000,0.300000,360,430,1000,5300,5400,10000,10000,10000,10000,11000,11000,2621,182,360.0,1765.7299436072192,1.9753000233322382,11113.704100018367,325.0969095764975
1764182159,50,,Aggregated,15.400000,0.300000,360,430,870,5100,5400,10000,10000,10000,10000,11000,11000,2645,182,360.0,1753.8237413967165,1.9753000233322382,11113.704100018367,325.392438563327
1764182160,50,,Aggregated,15.500000,0.300000,360,430,820,4900,5400,10000,10000,10000,10000,11000,11000,2661,182,360.0,1745.5648658001794,1.9753000233322382,11113.704100018367,325.26381059751975
1764182161,50,,Aggregated,16.600000,0.300000,360,430,700,4900,5400,10000,10000,10000,10000,11000,11000,2675,182,360.0,1737.68820650275,1.9753000233322382,11113.704100018367,324.9289719626168
1764182162,50,,Aggregated,17.700000,0.300000,360,430,660,4800,5400,10000,10000,10000,10000,11000,11000,2690,182,360.0,1730.1457262061342,1.9753000233322382,11113.704100018367,325.0431226765799
1764182163,50,,Aggregated,17.300000,0.200000,360,430,680,4700,5400,10000,10000,10000,10000,11000,11000,2696,182,360.0,1727.8341309697532,1.9753000233322382,11113.704100018367,325.11572700296733
1764182164,50,,Aggregated,17.300000,0.200000,360,430,690,4500,5400,10000,10000,10000,10000,11000,11000,2707,182,360.0,1723.0738773530004,1.9753000233322382,11113.704100018367,325.2253417066864
1764182165,50,,Aggregated,17.100000,0.100000,360,430,680,4500,5400,10000,10000,10000,10000,11000,11000,2718,182,360.0,1721.1811780703244,1.9753000233322382,11113.704100018367,325.19867549668874
1764182166,50,,Aggregated,16.600000,0.000000,360,440,700,4700,5400,10000,10000,10000,10000,11000,11000,2728,182,360.0,1723.3837357751413,1.9753000233322382,11113.704100018367,325.27272727272725
1764182167,50,,Aggregated,15.500000,0.000000,360,430,680,4500,5400,10000,10000,10000,10000,11000,11000,2737,182,360.0,1720.2829226505578,1.9753000233322382,11113.704100018367,324.9086591158202
1764182168,50,,Aggregated,15.500000,0.000000,360,440,750,4500,5400,10000,10000,10000,10000,11000,11000,2744,182,360.0,1719.1750459527766,1.9753000233322382,11113.704100018367,324.7463556851312
1764182169,50,,Aggregated,13.000000,0.000000,360,440,700,4500,5400,10000,10000,10000,10000,11000,11000,2754,182,360.0,1718.5375936073708,1.9753000233322382,11113.704100018367,324.95497458242556
1764182170,50,,Aggregated,12.500000,0.000000,360,440,810,4800,5400,10000,10000,10000,10000,11000,11000,2769,187,360.0,1734.4404252055317,1.9753000233322382,11113.704100018367,325.0007222824124
